rule_filterlist_Israel,blocked_etld
/CdaMarketingLink/*,2
||wesell.co.il^$third-party,1
||resources.fortvision.com/staticfiles,1
||ch10.co.il/wp-content/plugins/arti-banners/components/arti-banner-popup/,1
||rotter.net/banners/,1
"||cooladata.com^$third-party,domain=walla.co.il",1
||psakdin.co.il/Pictures/Banners/,1
||clickon.co.il^$third-party,1
"||virtualspirits.com^$third-party,domain=0-15.co.il|2b-bari.co.il|50plus.co.il|abortion.org.il|acnecenter.co.il|add-syndrome.co.il|allergy.org.il|alzheimer.co.il|asthma.org.il|autism.org.il|bariatric.org.il|blinds.org.il|blood.co.il|burn.org.il|candidafree.co.il|cfs.org.il|cholesterol.org.il|cold.co.il|colon.org.il|commitment.org.il|committee.co.il|degeneration.co.il|dementia.co.il|dermatology.co.il|dialysis.org.il|ear.org.il|east-west.co.il|emun.org.il|ent.org.il|epilepsy.co.il|feeling.co.il|fms.org.il|gastro-israel.org.il|genes.co.il|human.co.il|hyperhidrosis.org.il|iaawh.co.il|ibd.org.il|ifeel.co.il|ilsi.org.il|immunology.org.il|implants.org.il|ioh.org.il|isala.org.il|israrights.com|le-la.co.il|linshom.org.il|liver.org.il|lung.org.il|lupus.org.il|maane.co.il|matnachim.co.il|matnachim.org.il|medicalcannabis.co.il|mifrakim.co.il|multiplesclerosis.org.il|my-rights.org.il|myeyes.co.il|myhealth.co.il|myheart.co.il|myrights.co.il|nashy.co.il|neurology.org.il|noga.org.il|obesity.org.il|oncology.org.il|pain.org.il|parkinsons.org.il|pediatrics.co.il|pigur.co.il|pso.org.il|psychiatrist.org.il|psychiatry.org.il|stdinfo.co.il|stroke.org.il|sukarti.co.il|takana.co.il|tevalife.co.il|urinary.co.il|urine.org.il|voices.co.il|womenonly.co.il",1
||hasdarot.info^,1
||negishim.com/accessibility/,1
||webid.co.il/b144/$third-party,1
"||viewbix.com^$third-party,domain=13news.co.il|13tv.co.il",1
"||firebaseio.com^$third-party,domain=walla.co.il",1
||banners.news1.co.il^,1
"||kxcdn.com^$third-party,domain=6days.walla.co.il|animals.walla.co.il|b.walla.co.il|cars.walla.co.il|celebs.walla.co.il|e.walla.co.il|elections.walla.co.il|euro.walla.co.il|fashion.walla.co.il|finance.walla.co.il|food.walla.co.il|healthy.walla.co.il|home.walla.co.il|judaism.walla.co.il|kids.walla.co.il|mag.walla.co.il|mundial.walla.co.il|nadlan.walla.co.il|news.walla.co.il|nick.walla.co.il|olympics.walla.co.il|sports.walla.co.il|tech.walla.co.il|travel.walla.co.il|usaelections.walla.co.il|viva.walla.co.il|vod.walla.co.il|www.walla.co.il",1
||psakdin.co.il/ExternalFrames/$domain=mako.co.il,1
||sekindo.com^$third-party,1
||ads.one.co.il^,1
||erate.co.il^$third-party,1
||activetrail.biz^$third-party,1
"||azureedge.net^$third-party,domain=walla.co.il",1
"||netdna-ssl.com^$third-party,domain=mako.co.il",1
||api.conduit.com^$domain=mako.co.il|n12.co.il|tech12.co.il|tvbee.co.il,1
"||artipbox.net^$third-party,domain=walla.co.il",1
"||valuad.cloud^$third-party,domain=mako.co.il|n12.co.il|tech12.co.il|tvbee.co.il",1
||totalmedia2.ynet.co.il^,1
||upapi.net^$third-party,1
"||activetrail.com^$third-party,domain=mako.co.il",1
||localhost^$domain=mako.co.il|n12.co.il|tech12.co.il|tvbee.co.il,0
